LocationTitle,AddressStreetInfo,City,State,Zipcode,Details,Latitude,Longitude,GroupTitle,Day,Start,End,Meeting_Type
"Riverside Church",91 Claremont Avenue,New York,NY,10027,"91 Claremont Avenue,4th Floor,Room 414,Betw. Broadway & Riverside Drive,NY 10027",40.8119559,-73.9625116,08,"primary purpose",Sundays,3:00 PM,4:00 PM,OD
"Riverside Church",91 Claremont Avenue,New York,NY,10027,"91 Claremont Avenue,4th Floor,Room 414,Betw. Broadway & Riverside Drive,NY 10027",40.8119559,-73.9625116,08,"riverside",Mondays,7:00 PM,8:00 PM,C
"Upper Manhattan Mental Health Center",1727 Amsterdam Avenue,New York,NY,10031,"1727 Amsterdam Avenue,1st Floor in the rear.,@ 145th Street,NY 10031",40.8255289,-73.9471616,08,"promises two for one",Sundays,9:30 AM,10:30 AM,B
"Upper Manhattan Mental Health Center",1727 Amsterdam Avenue,New York,NY,10031,"1727 Amsterdam Avenue,1st Floor in the rear.,@ 145th Street,NY 10031",40.8255289,-73.9471616,08,"promises two for one",Sundays,11:00 AM,12:00 PM,C
"St. Aloysius School",219 West 132nd Street,New York,NY,10027,"219 West 132nd Street,Cafeteria,Betw. Adam Clayton Powell Blvd. & F. Douglass Blvd.,NY 10027",40.8138548,-73.9459315,08,"riverton",Saturdays,3:00 PM,4:00 PM,B
"St. Aloysius School",219 West 132nd Street,New York,NY,10027,"219 West 132nd Street,Cafeteria,Betw. Adam Clayton Powell Blvd. & F. Douglass Blvd.,NY 10027",40.8138548,-73.9459315,08,"riverton",Saturdays,6:00 PM,7:00 PM,O
"St. Aloysius School",219 West 132nd Street,New York,NY,10027,"219 West 132nd Street,Cafeteria,Betw. Adam Clayton Powell Blvd. & F. Douglass Blvd.,NY 10027",40.8138548,-73.9459315,08,"riverton",Tuesdays,8:00 PM,9:00 PM,undefined
"Salem United Methodist Church Community Center",211 West 129th Street,New York,NY,10027,"211 West 129th Street,Downstairs in the Gym,@ Adam Clayton Powell Blvd.,NY 10027",40.8119105,-73.9471217,08,"salem",Wednesdays,7:30 PM,8:30 PM,C
"Convent Baptist Church Education Building",425 West 144th Street,New York,NY,10031,"425 West 144th Street,1st Floor,Betw. Convent Avenue & Hamilton Terrace,NY 10031",40.8238524,-73.9461167,08,"sober adult men",Wednesdays,7:00 PM,8:00 PM,C
"St. Phillip's Church",204 West 134th Street,New York,NY,10030,"204 West 134th Street,Basement,Betw Adam C. Powell & Frederick Douglas Blvds,NY 10030",40.8147959,-73.9448542,08,"st. nicholas",Sundays,4:00 PM,5:00 PM,O
"St. Phillip's Church",204 West 134th Street,New York,NY,10030,"204 West 134th Street,Basement,Betw Adam C. Powell & Frederick Douglas Blvds,NY 10030",40.8147959,-73.9448542,08,"st. nicholas",Thursdays,7:00 PM,8:00 PM,B
"Harlem Hospital King Pavilion",506 Lenox Avenue,New York,NY,10037,"506 Lenox Avenue,Room #3101,3rd Floor,@ 135 Street,NY 10037",40.8143457,-73.9403066,08,"steps 3 and 11",Sundays,2:00 PM,3:00 PM,B
"Council Center for Problems of Living",1727 Amsterdam Avenue,New York,NY,10031,"1727 Amsterdam Avenue,1st floor in the rear,@ 145th St. 10031",40.8255289,-73.9471616,08,"sugar hill",Fridays,5:30 PM,6:30 PM,B
"1854 Amsterdam Avenue",1854 Amsterdam Avenue,New York,NY,10031,"1854 Amsterdam Avenue,Basment,Corner of 152nd Street,NY 10031",40.8295902,-73.9446541,08,"tuesday big book study",Tuesdays,6:00 PM,7:00 PM,BB
"Metropolitan AME Church",58 66 West 135th Street,New York,NY,10037,"58 66 West 135th Street,Betw Malcolm X Boulevard & 5th Avenue,NY 10037",40.8136193269582,-73.9399368110258,08,"you may care after",Tuesdays,6:30 PM,7:30 PM,S
"Columbia Presbyterian Hospital",701 West 168th Street @ Fort Washington Avenue,New York,NY,10032,"701 West 168th Street @ Fort Washington Avenue,Hammer Health & Science Library NY 10032",40.8424566,-73.9424508,10,"a new way of living",Thursdays,12:00 PM,1:00 PM,S
"Columbia Presbyterian Hospital",701 West 168th Street @ Fort Washington Avenue,New York,NY,10032,"701 West 168th Street @ Fort Washington Avenue,Hammer Health & Science Library NY 10032",40.8424566,-73.9424508,10,"a new way of living",Fridays,12:00 PM,1:00 PM,C
"Columbia Presbyterian Hospital",701 West 168th Street @ Fort Washington Avenue,New York,NY,10032,"701 West 168th Street @ Fort Washington Avenue,Hammer Health & Science Library NY 10032",40.8424566,-73.9424508,10,"a new way of living",Mondays,12:00 PM,1:00 PM,BB
